nom_ev;adresse;nom_gerant;type_espace_vert;type_jardin_partage;domaine;proprietaire_terrain;statut_plu;amenagements;mail_1;mail_2;internet_1;internet_2;date_fermeture;geo_shape;geo_point_2d
Le jardin du monde;Cité Internationale Universitaire de Paris 27 boulevard Jourdan;Cité Internationale Universitaire de Paris/Assemblée des Délégués de Comités de Résidents;;Autre;Hors Ville de Paris;Cité Internationale Unversitaire;;;jardindumonde14@gmail.com;;;;;"{""coordinates"": [2.3373237791692185, 48.82042520714962], ""type"": ""Point""}";48.82042520714962, 2.3373237791692185
Jardin des Deux Lauriers;11 rue Claude Decaen;Gar'Eden;;Conseil d'arrondissement;Hors Ville de Paris;RFF;ZUG;cabane composteurs récupérateur d'eau de pluie gites à insectes nichoirs à oiseaux grainothèque;gareden12@gmail.com;;https://jardindeuxlauriers.wordpress.com/;https://www.facebook.com/groups/462186695640205;;"{""coordinates"": [2.4013526307615636, 48.8340046041009], ""type"": ""Point""}";48.8340046041009, 2.4013526307615636
Jardin Santerre;107 rue de Reuilly;Association des résidents du 107;;Autre;Hors Ville de Paris;Paris Habitat;ZUG;composteurs;;;http://jardinsanterre.blogspot.com/;;;"{""coordinates"": [2.3924064438468062, 48.84261013182172], ""type"": ""Point""}";48.84261013182172, 2.3924064438468062
Le jardin Saint Blaise;Centre Chenal Saint-Blaise 14 rue du Clos;Esperem;;Autre;Hors Ville de Paris;Paris Habitat;ZUG;composteur;valerie.navarre@esperem.org;;https://esperem.org;;;"{""coordinates"": [2.406868721582751, 48.856991621657976], ""type"": ""Point""}";48.856991621657976, 2.406868721582751
jardin partagé de la rue Annie Girardot;14 rue Annie Girardot;Maison 13 solidaire;;Conseil d'arrondissement;Ville de Paris;DEVE;;deux jardinières sur dalle avec système drainant  et terre végétale - une arrivée d’eau - 5 placards - un panneau d’affichage;accueil@maison13solidaire.fr;;;;;"{""coordinates"": [2.3479299858242597, 48.82138721835101], ""type"": ""Point""}";48.82138721835101, 2.3479299858242597
Les jardins de la douve;Jardin Anna Marly 25 avenue de la porte de Vanves;Les jardins de la douve;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUG;récupérateur d'eau cabane;bureau@lesjardinsdeladouve.org;;;;;"{""coordinates"": [2.3043683491105096, 48.825077145700604], ""type"": ""Point""}";48.825077145700604, 2.3043683491105096
Les jardins de Beaugrenelle;Sur le toit du centre commercial Beaugrenelle : 12 rue Linois (accessible par l’escalier extérieur rue de l’ingénieur Robert Keller, à côté de la piscine Keller);Espaces;;Autre;Hors Ville de Paris;SCI Beaugrenelle;;cabane;;;https://www.association-espaces.org/;;;"{""coordinates"": [2.28251560896189, 48.848559800507466], ""type"": ""Point""}";48.848559800507466, 2.28251560896189
Jardin des Habitants;179 rue de Charonne;Association des habitants du 179 rue de Charonne;;Autre;Hors Ville de Paris;80% Emmaus Habitat, société de parking, école privée ESGF (non considérée comme bailleur social);ZUGEVP;;associationhabitants179@gmail.com;;;;;"{""coordinates"": [2.392423039763459, 48.85605873226233], ""type"": ""Point""}";48.85605873226233, 2.392423039763459
Georges Boudry;Square Dunois 189 rue Chevaleret;CED 13FEDD Jeune;;Autre;Hors Ville de Paris;SIEMP;;cabane;jardinpartageboudry@gmail.com;;https://jardinpartagegeorgesboudry.wordpress.com;;;"{""coordinates"": [2.36804579158709, 48.83396378353715], ""type"": ""Point""}";48.83396378353715, 2.36804579158709
potager de Bercy;41, rue Paul Belmondo;"Asso Tournesol - EM Pommard - CL Pommard - EM Lachambeaudie - Asso ""didot accompagnement""";Conseil de Paris;Conseil de Paris;Ville de Paris;DEVE;;composteur - casier grillagés;;;;;;"{""coordinates"": [2.382086335425838, 48.83610138676121], ""type"": ""Point""}";48.83610138676121, 2.382086335425838
Michelet;46, rue Boussingault;Centre Michelet;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;;;;;;;"{""coordinates"": [2.3431593156770174, 48.825904392658636], ""type"": ""Point""}";48.825904392658636, 2.3431593156770174
catherine labouré;29 rue de Babylone;Association Val de Seine - Conseil de ParisN Nature -;Conseil de Paris;Conseil de Paris;;;;;cpnvaldeseine@free.fr;;http://www.cpn-valdeseine.asso.fr/;;;"{""coordinates"": [2.320189454812865, 48.85156475843292], ""type"": ""Point""}";48.85156475843292, 2.320189454812865
Le jardin insolite;Square Louis Lumière 30 rue Louis Lumière;Môm'Ganne / Réseau Môm'artre;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;composteur;rueganne@gmail.com;;www.momartre.net;;2021-04-12;"{""coordinates"": [2.4116456899674352, 48.859198214906925], ""type"": ""Point""}";48.859198214906925, 2.4116456899674352
L'îlot Léon;Jardin Léon Zyguel 77 rue pixérécourt;L'îlot Léon;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;EVP;eau coffres à outils;assolilotleon@gmail.com;;;;;"{""coordinates"": [2.395705800305236, 48.874455781851054], ""type"": ""Point""}";48.874455781851054, 2.395705800305236
jardin des p'tits voisins;impasse des jardiniers;Les p'tits voisins du 11ème;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;eau - bacs;lesptitsvoisins@ntymail.com;;https://www.facebook.com/lespetitsvoisinsdu11eme;;;"{""coordinates"": [2.391078620244889, 48.85214501194982], ""type"": ""Point""}";48.85214501194982, 2.391078620244889
jardin partagé Chapelle Charbon;Parc Chapelle Charbon, rue du pré;Vergers Urbains;Conseil de Paris;Conseil de Paris;Ville de Paris;DEVE;;une couche drainante, comprise entre deux géotextiles, surmontée d’une couche de 1m de terre végétale : deux fontaines à boire - trois bouches d’arrosage - une grillette parisienne de 1m de haut et trois portillons - une haie champêtre;vergersurbains@gmail.com;;;;;"{""coordinates"": [2.362103369000309, 48.8974350132832], ""type"": ""Point""}";48.8974350132832, 2.362103369000309
